Player Name,Games,Goals,Starter,Sub,Debut,Last Game,Active
James Craigie,2,,2,,1905-10-07,1905-11-18,0
Joe Goodwin,2,,2,,1905-10-28,1905-11-18,0
James Toomer,1,,1,,1905-11-18,1905-11-18,0
Frank Wolff,1,,1,,1905-11-18,1905-11-18,0
Bob McEwan,20,,20,,1905-09-02,1906-03-31,0
Willie Foulke,35,,35,,1905-09-02,1906-04-16,0
James Watson,14,,14,,1905-09-09,1906-04-16,0
Charles Harris,2,,2,,1905-11-18,1906-04-21,0
Francis O'Hara,3,3,3,,1905-10-07,1906-04-21,0
James Fletcher,1,,1,,1906-04-28,1906-04-28,0
Frank Pearson,30,18,30,,1905-10-14,1906-04-28,0
Michael Byrne,5,,5,,1905-11-18,1906-09-01,0
Charles Donaghy,3,1,3,,1905-11-18,1906-10-20,0
John Tait Robertson,39,7,39,,1905-09-02,1906-10-20,0
David Copeland,26,9,26,,1905-09-02,1906-11-03,0
Tom McDermott,32,12,32,,1905-10-21,1906-11-03,0
Robert Bush,4,,4,,1906-11-10,1906-12-01,0
William Porter,2,,2,,1906-02-17,1907-02-23,0
David McCartney,3,,3,,1907-01-12,1907-03-19,0
James Robertson,31,22,31,,1905-09-30,1907-04-13,0
James Frost,23,4,23,,1906-12-15,1907-09-21,0
Peter Proudfoot,12,,12,,1906-04-13,1907-09-28,0
Jack Kirwan,76,16,76,,1905-09-02,1907-10-12,0
Bob Mackie,48,1,48,,1905-09-02,1907-10-12,0
Bob Whiting,54,,54,,1906-04-28,1907-12-21,0
Martin Moran,66,7,66,,1905-09-02,1908-02-15,0
Ben Whitehouse,13,2,13,,1907-01-12,1908-02-15,0
Frank Lyon,6,,6,,1907-09-14,1908-04-29,0
Jimmy Stark,32,2,32,,1907-10-05,1908-04-29,0
George Key,56,2,56,,1905-09-02,1908-09-21,0
Bob McRoberts,106,11,106,,1905-09-02,1909-01-23,0
George Kennedy,12,,12,,1908-10-10,1909-01-30,0
Fred Rouse,42,11,42,,1907-10-19,1909-02-06,0
Tommy Miller,120,,120,,1905-09-02,1909-03-22,0
George Henderson,64,1,64,,1906-04-16,1909-03-31,0
Edward Reilly,1,,1,,1909-04-03,1909-04-03,0
Joe Walton,53,,53,,1906-09-01,1909-09-25,0
Percy Humphreys,46,13,46,,1908-02-29,1909-11-27,0
Ted Birnie,108,3,108,,1906-09-08,1909-12-27,0
James Saunders,2,,2,,1909-12-25,1909-12-27,0
James Bradshaw,6,3,6,,1909-12-04,1910-01-08,0
Ernest Williams,8,1,8,,1909-12-18,1910-02-12,0
Tommy Mair,9,1,9,,1908-12-25,1910-02-19,0
Arthur Holden,20,1,20,,1909-04-17,1910-03-28,0
Augustus Harding,5,,5,,1907-12-14,1910-04-02,0
George Horn,2,,2,,1910-04-02,1910-04-09,0
Arthur Robinson,3,,3,,1908-09-07,1910-04-09,0
Arthur Wileman,14,5,14,,1909-09-25,1910-04-09,0
Philip Smith,1,,1,,1910-04-16,1910-04-16,0
Hugh Dolby,2,,2,,1909-12-11,1910-09-24,0
Evan Jones,21,4,21,,1909-09-11,1910-12-03,0
English McConnell,21,,21,,1910-04-16,1910-12-27,0
Marshall McEwan,35,3,35,,1910-04-02,1911-04-15,0
Ken McKenzie,1,,1,,1911-04-26,1911-04-26,0
Billy Brawn,99,11,99,,1907-11-23,1911-04-29,0
Jimmy Windridge,152,58,152,,1905-09-02,1911-09-09,0
Ben Warren,101,4,101,,1908-09-01,1911-10-28,0
Robert Buchanan,3,,3,,1911-10-21,1911-11-04,0
Tom Hewitt,8,,8,,1911-12-02,1912-01-06,0
William Read,4,,4,,1912-01-20,1912-02-10,0
George Hilsdon,164,108,164,,1906-09-01,1912-04-08,0
George Dodd,31,8,31,,1911-10-14,1912-12-26,0
Ronald Brebner,19,,19,,1906-10-27,1913-01-11,0
Geoffrey Johnson,6,,6,,1912-03-16,1913-02-05,0
Angus Douglas,103,10,103,,1908-09-01,1913-02-08,0
William Young Brown,10,2,10,,1911-09-09,1913-02-15,0
Jack Harwood,4,,4,,1913-01-04,1913-02-22,0
Jock Cameron,194,,194,,1907-10-12,1913-03-01,0
William Steer,4,1,4,,1912-12-21,1913-03-15,0
William Cartwright,46,,46,,1908-09-12,1913-04-26,0
James Turnbull,22,7,22,,1912-09-02,1913-09-27,0
Norman Fairgray,84,5,84,,1907-09-14,1914-01-17,0
George Hunter,32,2,32,,1913-03-01,1914-02-28,0
Alec Ormiston,102,1,102,,1909-09-04,1914-04-04,0
Jack Whitley,138,,138,,1907-09-23,1914-04-04,0
Max Woosnam,3,,3,,1914-03-21,1914-04-11,0
Sam Downing,144,10,144,,1909-04-09,1914-04-13,0
George Lake,1,,1,,1914-04-14,1914-04-14,0
David Calderhead Jr.,43,2,43,,1911-01-14,1914-04-18,0
Alex McFarlane,4,,4,,1913-09-13,1914-09-19,0
Billy Bridgeman,159,22,159,,1906-12-01,1914-12-12,0
Edward Tye,1,,1,,1914-12-28,1914-12-28,0
John Brown,16,4,16,,1913-03-01,1915-03-17,0
James Sharp,63,,63,,1912-11-23,1915-04-19,0
Fred Taylor,171,4,171,,1909-12-25,1915-04-24,0
Vivian Woodward,116,34,116,,1909-11-27,1915-04-28,0
Andy Walker,24,2,24,,1913-09-13,1919-09-13,0
Bob Whittingham,129,80,129,,1910-04-16,1919-09-20,0
Thomas Baxter,1,,1,,1919-09-27,1919-09-27,0
Joe Spottiswood,1,,1,,1920-01-03,1920-01-03,0
Charlie Freeman,105,22,105,,1909-02-13,1920-01-24,0
James Gallon,2,,2,,1920-02-04,1920-02-07,0
John Browning,6,2,6,,1919-08-30,1920-02-21,0
Laurence Abrams,49,7,49,,1914-09-05,1920-02-28,0
Owen Marshall,36,,36,,1913-09-08,1920-02-28,0
Harold Brittan,24,7,24,,1914-04-18,1920-03-20,0
Tommy Logan,116,8,116,,1913-09-06,1920-11-20,0
Harold Halse,111,24,111,,1913-09-06,1921-03-14,0
William Dickie,40,,40,,1919-08-30,1921-04-09,0
Walter Bettridge,254,,254,,1909-10-16,1921-04-16,0
Bob Thomson,95,30,95,,1911-10-21,1921-05-07,0
Jim Molyneux,239,,239,,1910-09-03,1921-10-08,0
Joe Ward,16,,16,,1920-10-16,1921-12-10,0
James Ferris,39,9,39,,1920-09-06,1921-12-24,0
Jimmy Croal,130,26,130,,1914-09-05,1922-01-14,0
Nils Middelboe,46,1,46,,1913-11-15,1922-01-18,0
Joe Langton,3,,3,,1921-05-02,1922-01-21,0
Ken W McKenzie,22,,22,,1920-09-11,1922-01-21,0
George Dale,52,1,52,,1919-08-30,1922-03-04,0
Edward Ferguson,2,,2,,1921-05-07,1922-09-16,0
Stephen Smith,23,1,23,,1921-08-29,1922-10-21,0
Frank Hoddinott,32,4,32,,1921-08-27,1922-11-04,0
Jack Cock,111,53,111,,1919-11-01,1922-12-16,0
John Lee,7,1,7,,1920-03-13,1922-12-16,0
Buchanan Sharp,72,23,72,,1920-02-28,1923-03-10,0
Dr. John Bell,44,10,44,,1920-09-11,1923-04-07,0
William Finlayson,5,1,5,,1922-01-21,1923-11-03,0
Harry Ford,248,47,248,,1912-09-07,1923-11-10,0
William Haywood,22,2,22,,1922-04-14,1923-12-29,0
Walter Bennett,5,,5,,1922-11-18,1924-01-05,0
Fred Linfoot,41,1,41,,1920-09-04,1924-01-16,0
Colin Hampton,82,,82,,1914-04-25,1924-02-16,0
Wilson Marsh,12,,12,,1921-12-27,1924-02-23,0
Tommy Meehan,133,4,133,,1920-12-27,1924-03-15,0
James Ashford,8,,8,,1921-04-23,1924-09-01,0
Richard Jenkins,4,,4,,1924-08-30,1925-01-17,0
Sidney Castle,33,2,33,,1923-08-27,1925-03-07,0
William Whitton,39,19,39,,1923-03-17,1925-04-13,0
William Morrison,1,,1,,1925-04-20,1925-04-20,0
David Cameron,81,2,81,,1920-08-28,1925-04-25,0
Alfred Bower,9,,9,,1924-03-01,1925-10-17,0
Ben Howard Baker,93,1,93,,1921-10-15,1925-11-28,0
James Armstrong,32,10,32,,1922-12-23,1925-12-26,0
Bernard Duffy,3,,3,,1923-10-27,1926-02-13,0
Jack Harrow,334,5,334,,1911-12-09,1926-02-20,0
James Frew,43,,43,,1923-02-14,1926-04-24,0
Seth Plum,27,1,27,,1924-08-30,1926-04-24,0
Fred Barrett,70,6,70,,1920-09-18,1926-09-13,0
George Stone,25,2,25,,1925-08-29,1926-09-18,0
Bob McNeil,306,32,306,,1914-09-05,1927-04-04,0
Arthur Sales,7,,7,,1924-08-30,1927-12-10,0
Bob Turnbull,87,58,87,,1925-02-07,1927-12-26,0
Bill Williams,2,,2,,1927-12-26,1927-12-31,0
William Brown,57,21,57,,1924-03-01,1928-01-14,0
John Priestley,204,19,204,,1921-05-02,1928-02-25,0
Harry Wilding,265,25,265,,1919-08-30,1928-02-25,0
Chris Ferguson,1,,1,,1928-04-28,1928-04-28,0
George Anderson,9,,9,,1928-02-04,1928-12-25,0
Jim Thompson,42,34,42,,1927-08-27,1929-03-02,0
John Carr,1,,1,,1929-04-17,1929-04-17,0
Frank Higgs,2,,2,,1929-09-28,1929-10-05,0
George Biswell,25,9,25,,1928-01-28,1929-12-14,0
Sidney Elliot,30,9,30,,1928-08-25,1930-01-25,0
Albert Thain,153,51,153,,1922-09-30,1930-04-21,0
John Meredith,23,6,23,,1928-10-27,1930-05-03,0
Peter McKenna,66,,66,,1924-11-08,1930-09-13,0
Stanley Macintosh,1,,1,,1930-12-06,1930-12-06,0
George Rodger,122,2,122,,1925-01-17,1931-03-28,0
William Jackson,26,6,26,,1928-03-31,1931-04-11,0
Andy Wilson,253,61,253,,1923-12-01,1931-09-09,0
George Smith,370,,370,,1921-08-27,1931-09-21,0
Sam Irving,97,5,97,,1928-03-03,1931-10-03,0
James Hope,1,,1,,1931-10-24,1931-10-24,0
Jack Townrow,140,3,140,,1927-02-26,1931-11-07,0
Reg Weaver,20,8,20,,1929-03-13,1932-02-06,0
Alexander Donald,24,,24,,1930-11-08,1932-03-02,0
Alex Jackson,77,30,77,,1930-09-15,1932-04-16,0
Sam Millington,245,,245,,1926-10-02,1932-05-07,0
Robert Carter,18,1,18,,1931-04-07,1932-08-27,0
Sid Bishop,109,6,109,,1928-08-25,1932-10-08,0
Jackie Crawford,308,27,308,,1923-08-25,1933-01-14,0
Sam Dudley,1,,1,,1933-02-04,1933-02-04,0
